Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",59,0.529411764,0.277777777,0.25,0.472222222,0.117647058,0.058823529,0,0,0.3889,0.4444,0.1667,0.1111,0.5556,0.3333,785
2020,"Albert Pujols","LAA",38,1.4,0.172413793,0.48275862,0.344827586,0.1,0.2,0,0,0.6897,0.1379,0.1724,0.069,0.3448,0.5862,1177
2020,"Wilson Ramos","NYM",39,3.2,0.16,0.64,0.2,0,0,0,0,0.32,0.48,0.2,0.12,0.44,0.44,1433
2020,"Miguel Cabrera","DET",66,1.846153846,0.26,0.48,0.26,0.076923076,0.153846153,0.083333333,0,0.48,0.28,0.24,0.1,0.52,0.38,1744
2020,"David Peralta","ARI",62,1.666666666,0.215686274,0.490196078,0.294117647,0.066666666,0.133333333,0.04,0,0.4706,0.2549,0.2745,0.098,0.5098,0.3922,2136
2020,"Edwin Encarnacion","CHW",45,0.846153846,0.111111111,0.407407407,0.481481481,0.23076923,0.307692307,0,0,0.5926,0.2222,0.1852,0.2222,0.3333,0.4444,2151
2020,"Carlos Santana","CLE",67,1,0.162790697,0.418604651,0.418604651,0.111111111,0.055555555,0,0,0.4651,0.3256,0.2093,0.093,0.5581,0.3488,2396
2020,"Nelson Cruz","MIN",59,1.307692307,0.23076923,0.435897435,0.333333333,0.076923076,0.384615384,0,0,0.3077,0.4359,0.2564,0.0513,0.4872,0.4615,2434
2020,"Roberto Perez","CLE",30,2.666666666,0.153846153,0.615384615,0.23076923,0.333333333,0,0.125,0,0.5385,0.3846,0.0769,0.0769,0.5385,0.3846,2900
2020,"Tommy Pham","SDP",42,2.25,0.071428571,0.642857142,0.285714285,0,0,0.111111111,0,0.5,0.2857,0.2143,0.1786,0.4286,0.3929,2967
2020,"Mitch Moreland","BOS",37,1.111111111,0.136363636,0.454545454,0.409090909,0,0.555555555,0,0,0.4348,0.4348,0.1304,0.0435,0.3043,0.6522,3086
2020,"Robinson Chirinos","TEX",28,1.5,0.210526315,0.47368421,0.315789473,0.166666666,0,0,0,0.2632,0.5789,0.1579,0.1579,0.5789,0.2632,3142
2020,"Shin-Soo Choo","TEX",50,1.2,0.214285714,0.428571428,0.357142857,0.1,0,0,0,0.3214,0.4286,0.25,0.1429,0.2857,0.5714,3174
2020,"Robinson Cano","NYM",23,2,0.318181818,0.454545454,0.227272727,0,0,0,0,0.4091,0.4091,0.1818,0.2727,0.3636,0.3636,3269
2020,"Matt Joyce","MIA",25,0.8,0.470588235,0.235294117,0.294117647,0,0,0,0,0.2353,0.6471,0.1176,0.1765,0.3529,0.4706,3353
2020,"Anthony Rizzo","CHC",76,0.764705882,0.333333333,0.288888888,0.377777777,0.058823529,0.176470588,0.153846153,0,0.4348,0.3478,0.2174,0.1087,0.4348,0.4565,3473
2020,"Eric Hosmer","SDP",46,1.071428571,0.194444444,0.416666666,0.388888888,0.071428571,0.214285714,0,0,0.3889,0.3611,0.25,0.1667,0.2222,0.6111,3516
2020,"Eric Thames","WSN",46,1.666666666,0.304347826,0.434782608,0.260869565,0.166666666,0,0.2,0,0.3043,0.4783,0.2174,0.087,0.4348,0.4783,3711
2020,"Josh Reddick","HOU",63,1.333333333,0.270833333,0.416666666,0.3125,0.333333333,0,0,0,0.3958,0.4167,0.1875,0.1458,0.5208,0.3333,3892
2020,"Dexter Fowler","STL",35,1.111111111,0.173913043,0.434782608,0.391304347,0.111111111,0.111111111,0,0,0.4783,0.3913,0.1304,0.1739,0.4783,0.3478,4062
2020,"Michael Brantley","HOU",43,1.076923076,0.205882352,0.411764705,0.382352941,0,0.076923076,0,0,0.4706,0.3529,0.1765,0.0882,0.5294,0.3824,4106
2020,"Howie Kendrick","WSN",47,2.285714285,0.323529411,0.470588235,0.205882352,0,0.142857142,0,0,0.2941,0.5,0.2059,0.0882,0.2941,0.6176,4229
2020,"Joey Votto","CIN",54,1.545454545,0.263157894,0.447368421,0.289473684,0,0.272727272,0,0,0.6053,0.2368,0.1579,0.1579,0.4474,0.3947,4314
2020,"Daniel Murphy","COL",47,1.142857142,0.25,0.4,0.35,0.214285714,0.142857142,0,0,0.35,0.3,0.35,0.125,0.625,0.25,4316
2020,"Starlin Castro","WSN",35,0.4375,0.148148148,0.259259259,0.592592592,0.0625,0.0625,0.142857142,0,0.2593,0.3333,0.4074,0.2593,0.4074,0.3333,4579
2020,"Jarrod Dyson","PIT",30,1.5,0.25,0.45,0.3,0.166666666,0,0.111111111,1,0.4762,0.2381,0.2857,0.2857,0.4286,0.2857,4866
2020,"Ender Inciarte","ATL",42,3.4,0.185185185,0.629629629,0.185185185,0,0,0.117647058,0,0.3704,0.4815,0.1481,0.1852,0.6667,0.1481,4922
2020,"Jason Heyward","CHC",50,4,0.305555555,0.555555555,0.138888888,0,0.2,0.05,0,0.5278,0.4444,0.0278,0.1389,0.3611,0.5,4940
2020,"Asdrubal Cabrera","WSN",53,2.1,0.225,0.525,0.25,0.3,0.1,0,0,0.425,0.325,0.25,0.225,0.325,0.45,4962
2020,"Stephen Vogt","ARI",31,0.7,0.105263157,0.368421052,0.526315789,0,0,0,0,0.6316,0.2632,0.1053,0.1579,0.4211,0.4211,5000
2020,"Alex Gordon","KCR",43,1.272727272,0.107142857,0.5,0.392857142,0.09090909,0.181818181,0,0,0.3448,0.5517,0.1034,0.1724,0.5517,0.2759,5209
2020,"Justin Upton","LAA",40,0.727272727,0.136363636,0.363636363,0.5,0.181818181,0.09090909,0.125,0,0.4091,0.4091,0.1818,0.2273,0.2727,0.5,5222
2020,"Cameron Maybin","DET",29,3.5,0.181818181,0.636363636,0.181818181,0,0.25,0.071428571,0,0.4545,0.4545,0.0909,0.0909,0.5,0.4091,5223
2020,"Justin Turner","LAD",62,1,0.272727272,0.363636363,0.363636363,0.0625,0.125,0.125,0,0.4318,0.4318,0.1364,0.1136,0.2955,0.5909,5235
2020,"Robbie Grossman","OAK",47,0.692307692,0.24137931,0.310344827,0.448275862,0.153846153,0.153846153,0,0,0.5172,0.3103,0.1724,0.2069,0.4138,0.3793,5254
2020,"Francisco Cervelli","MIA",25,2.333333333,0.285714285,0.5,0.214285714,0,0,0.142857142,0,0.3571,0.3571,0.2857,0,0.5,0.5,5275
2020,"Aaron Hicks","NYY",51,1,0.212121212,0.393939393,0.393939393,0.153846153,0.076923076,0.153846153,0,0.4412,0.3824,0.1765,0.1765,0.2941,0.5294,5297
2020,"Brandon Crawford","SFG",52,1.4,0.2,0.466666666,0.333333333,0.2,0.2,0.071428571,0,0.5333,0.3333,0.1333,0.1333,0.3667,0.5,5343
2020,"Freddie Freeman","ATL",66,0.764705882,0.318181818,0.295454545,0.386363636,0,0.235294117,0,0,0.3864,0.2955,0.3182,0.1136,0.3864,0.5,5361
2020,"Pablo Sandoval","SFG",30,1,0.157894736,0.421052631,0.421052631,0.25,0,0,0,0.3684,0.4211,0.2105,0.2632,0.3684,0.3684,5409
